cliente_id,nombre,sector,pais
70,Corporacin Prado y Barrios,Construcción,México
71,Martínez-Castellanos e Hijos,Construcción,México
72,"Industrias Mares, Paredes y Mena",Construcción,México
73,"Lucero, Urrutia y Cavazos",Construcción,México
74,Club Ojeda y Delgado,Construcción,México
75,"Club Ulibarri, Abrego y Maestas",Construcción,México
76,"Grupo Posada, Venegas y Zepeda",Construcción,México
77,Rivero-Quintanilla S.C.,Construcción,México
78,Industrias Rojas y de la O,Construcción,México
79,Limón-Serrato,Construcción,México
80,Cabán-Gollum e Hijos,Construcción,México
81,"Grupo Farías, Contreras y Alvarado",Ingeniería,México
82,Guevara S.C.,Ingeniería,México
83,Reséndez-Pedroza,Ingeniería,México
84,Laboratorios Olivo y Saldaña,Ingeniería,México
85,"Guerrero, Cordero y Adame",Ingeniería,México
86,Pizarro-Gaona,Ingeniería,México
87,Proyectos Sisneros-Rivera,Ingeniería,México
88,Valdés S.A.,Ingeniería,México
89,Reyes-Cepeda,Ingeniería,México
90,Tamez y Valdivia S. R.L. de C.V.,Ingeniería,México
91,Quintero-Santana S.C.,Ingeniería,México
92,Covarrubias y Roldán S.C.,Ingeniería,México
93,"Proyectos Gutiérrez, Lebrón y Soliz",Ingeniería,México
94,Griego y Laureano S.C.,Ingeniería,México
95,Lira-Gollum,Ingeniería,México
96,"Corporacin Maya, Toledo y Blanco",Ingeniería,México
97,Grupo Godoy-Olivera,Ingeniería,México
98,Laboratorios Gallegos-Barela,Ingeniería,México
99,"Pantoja, Menéndez y Torres",Ingeniería,México
100,Pelayo y Bañuelos S.A.,Ingeniería,México
101,"Ordóñez, Viera y Almonte",Ingeniería,México
102,"Romero, Aguayo y Mora",Ingeniería,México
103,"Proyectos Orellana, Perea y Tijerina",Ingeniería,México
104,Club Gaona y Laboy,Ingeniería,México
105,"Ruelas, Anaya y Ordóñez",Salud,México
106,Palacios-de Jesús y Asociados,Salud,México
107,Cavazos y Tejeda A.C.,Salud,México
108,"Villarreal, Valle y Amador",Salud,México
109,Porras-Cervántez,Salud,México
110,Echeverría y Arteaga S.A. de C.V.,Salud,México
111,"Menchaca, Galarza y Rentería",Salud,México
112,Miranda-Ojeda S.A. de C.V.,Salud,México
113,"Hernádez, Bonilla y Rodrígez",Salud,México
114,Tirado A.C.,Salud,México
115,Garrido-Barrientos y Asociados,Salud,México
116,Angulo S.A.,Salud,México
117,Proyectos Almonte y Corral,Salud,México
118,Grupo Rojas y Carrero,Salud,México
119,Club Hidalgo y Negrete,Salud,México
120,Industrias Zepeda-Carrero,Salud,México
121,Corporacin Cardenas-Véliz,Manufactura,México
122,Marrero S. R.L. de C.V.,Manufactura,México
123,"Osorio, Farías y Benítez",Manufactura,México
124,Despacho Madera y Zapata,Manufactura,México
125,Valles-Arguello,Manufactura,México
126,Tejada-Porras e Hijos,Manufactura,México
127,Barrientos-Santillán e Hijos,Manufactura,México
128,Alcala-Peres y Asociados,Manufactura,México
129,Caraballo y Prieto S.A. de C.V.,Manufactura,México
130,Corral y Puga S.A.,Manufactura,México
131,"Industrias Tijerina, Roybal y Rivero",Manufactura,México
132,"Villarreal, Jasso y Medrano",Manufactura,México
133,Proyectos Briseño y Leiva,Manufactura,México
134,Guerrero y Rivera S. R.L. de C.V.,Manufactura,México
135,"Miramontes, Anaya y Saldaña",Manufactura,México
136,Echeverría-Saavedra S.A.,Manufactura,México
137,Holguín-Molina S.A. de C.V.,Manufactura,México
138,"Industrias Alarcón, Sierra y Espino",Manufactura,México
139,Guardado-Palomo,Manufactura,México
140,Vaca y Guajardo e Hijos,Manufactura,México
141,Salas y Ramos y Asociados,Manufactura,México
142,Cabán S.A. de C.V.,Manufactura,México
143,Club Guerrero y Malave,Manufactura,México
144,Rojas-Uribe S. R.L. de C.V.,Manufactura,México
145,Pizarro-Urbina S.A. de C.V.,Servicios,México
146,Rendón-Juárez S.A. de C.V.,Servicios,México
147,"Grupo Casárez, Espinoza y Mata",Servicios,México
148,Tello-Escalante,Servicios,México
149,Grupo Roybal y Lebrón,Servicios,México
150,"Despacho Esquibel, Lucio y Gaytán",Servicios,México
151,Duarte-Madrid A.C.,Servicios,México
152,Corporacin Armenta-Ayala,Servicios,México
153,"Laboratorios Castro, Salas y Candelaria",Servicios,México
154,Vela S.A. de C.V.,Servicios,México
155,Roque y Quintana S.A. de C.V.,Servicios,México
156,Despacho Hernádez-Romo,Servicios,México
157,Barragán-Pacheco,Servicios,México
158,Benavides y Velázquez e Hijos,Servicios,México
159,Coronado S.A.,Servicios,México
160,"Despacho Guzmán, Casanova y Valdez",Servicios,México
161,"Zelaya, Ybarra y Gastélum",Automotriz,Chile
162,"Raya, Quintero y Luevano",Automotriz,Chile
163,"Magaña, Varela y Balderas",Automotriz,Chile
164,Franco-Galarza,Automotriz,Chile
165,"Laboratorios Bonilla, Cortez y Grijalva",Tecnología,Chile
166,Industrias Benavídez-Cortez,Tecnología,Chile
167,Paredes S.C.,Tecnología,Chile
168,Lovato y Apodaca S.A.,Tecnología,Chile
169,"Laboratorios Leyva, Rendón y Batista",Tecnología,Chile
170,Corporacin Villalpando y Fajardo,Tecnología,Chile
171,"Carrero, Tovar y Garza",Tecnología,Chile
172,Corporacin Collado-Becerra,Tecnología,Chile
173,de Jesús y Asociados,Tecnología,Chile
174,"Industrias Varela, Lomeli y Quiñones",Tecnología,Chile
175,Rocha-Maestas,Tecnología,Chile
176,"Jurado, Sanches y Tirado",Construcción,Chile
177,Quezada y Blanco S. R.L. de C.V.,Construcción,Chile
178,Preciado e Hijos,Construcción,Chile
179,Zayas-Henríquez A.C.,Construcción,Chile
180,Girón-Velásquez,Construcción,Chile
181,Jiménez S. R.L. de C.V.,Construcción,Chile
182,del Río S.C.,Ingeniería,Chile
183,Ledesma y Durán S. R.L. de C.V.,Ingeniería,Chile
184,"Salazar, Bustos y Rodrígez",Ingeniería,Chile
185,Paredes-Merino S.A. de C.V.,Ingeniería,Chile
186,Cruz-Mendoza,Ingeniería,Chile
187,"Saldivar, Lomeli y Pacheco",Ingeniería,Chile
188,Rentería A.C.,Salud,Chile
189,Hernádez-Mejía A.C.,Salud,Chile
190,"Serrano, Abreu y Torres",Salud,Chile
191,Pedraza y Ayala S.A.,Salud,Chile
192,Samaniego-Quintanilla y Asociados,Manufactura,Chile
193,Figueroa S.A. de C.V.,Manufactura,Chile
194,Corporacin Quezada-Rubio,Manufactura,Chile
195,Anaya-Grijalva,Manufactura,Chile
196,Corporacin Ureña-Alcaraz,Manufactura,Chile
197,"Cabán, Garza y Carrera",Manufactura,Chile
198,Carvajal y Corrales S.C.,Servicios,Chile
199,"Industrias Laboy, Pelayo y Rosas",Servicios,Chile
200,Guerrero y Reyes S. R.L. de C.V.,Servicios,Chile
201,Club Espino-Zamudio,Servicios,Chile
202,Proyectos Barrios-Leal,Automotriz,Colombia
203,"Molina, Sarabia y Jaramillo",Automotriz,Colombia
204,Leyva e Hijos,Automotriz,Colombia
205,"Proyectos Villagómez, Venegas y Saiz",Automotriz,Colombia
206,Club Tijerina-Roybal,Automotriz,Colombia
207,Mercado-Urías y Asociados,Automotriz,Colombia
208,"Reséndez, Medina y Esparza",Tecnología,Colombia
209,Industrias Olivera y González,Tecnología,Colombia
210,"Armas, Matías y Rojas",Tecnología,Colombia
211,"Olvera, Coronado y Saldivar",Tecnología,Colombia
212,Castro S. R.L. de C.V.,Tecnología,Colombia
213,Camarillo-Quiñónez A.C.,Tecnología,Colombia
214,Alejandro y Colón S.C.,Tecnología,Colombia
215,Despacho Rodarte-Jaimes,Tecnología,Colombia
216,Otero-Blanco y Asociados,Tecnología,Colombia
217,Tejeda-Olivares S.A. de C.V.,Tecnología,Colombia
218,Toro y Aranda S. R.L. de C.V.,Tecnología,Colombia
219,Gollum-Loera,Tecnología,Colombia
220,Laboratorios Bustamante y Puente,Tecnología,Colombia
221,Camarillo-Quiroz,Tecnología,Colombia
222,Laboratorios Luna-Anaya,Tecnología,Colombia
223,Meléndez y Asociados,Tecnología,Colombia
224,Lozada S.A. de C.V.,Tecnología,Colombia
225,Prado-Concepción S.A.,Construcción,Colombia
226,"Valles, Dueñas y de la Rosa",Construcción,Colombia
227,Despacho Olivas-Guajardo,Construcción,Colombia
228,Vergara y Collazo S.A.,Construcción,Colombia
229,Hernández y Rico S.A. de C.V.,Construcción,Colombia
230,Rivero S.A. de C.V.,Construcción,Colombia
231,Despacho Quintanilla-Montaño,Construcción,Colombia
232,"Laboratorios Pineda, Henríquez y Reyes",Construcción,Colombia
233,"Grupo Olivo, Rosas y Carbajal",Construcción,Colombia
234,Club Vázquez y Muñoz,Construcción,Colombia
235,"Laboratorios Lucero, Alonzo y Ortiz",Ingeniería,Colombia
236,"Despacho Valles, Arroyo y Zelaya",Ingeniería,Colombia
237,Llamas y Godínez S. R.L. de C.V.,Ingeniería,Colombia
238,Gaona-Espinal S. R.L. de C.V.,Ingeniería,Colombia
239,"Laboratorios Chapa, Calderón y Arenas",Ingeniería,Colombia
240,"Proyectos Quintana, Aponte y Venegas",Ingeniería,Colombia
241,Ceja-Bustamante S.A. de C.V.,Ingeniería,Colombia
242,Pelayo-del Río S.A.,Ingeniería,Colombia
243,Proyectos Tirado-Navarrete,Ingeniería,Colombia
244,"Proyectos de Anda, Hinojosa y Rosario",Ingeniería,Colombia
245,"Laboratorios Mireles, Carrero y Rocha",Salud,Colombia
246,Cisneros-Gastélum,Salud,Colombia
247,"Valdés, Navarrete y Bustamante",Salud,Colombia
248,"Alcaraz, Jaime y Terán",Salud,Colombia
249,Rentería-Negrete,Salud,Colombia
250,"Industrias Olivárez, Nieto y Cardenas",Salud,Colombia
251,Club Alvarado y Valentín,Manufactura,Colombia
252,García-Barajas e Hijos,Manufactura,Colombia
253,Madrid y Paredes A.C.,Manufactura,Colombia
254,Despacho Archuleta-Maestas,Manufactura,Colombia
255,Carrillo y Calderón S.A.,Manufactura,Colombia
256,Club Rendón-Nevárez,Manufactura,Colombia
257,"Villagómez, Correa y Pedroza",Manufactura,Colombia
258,Saiz-Pantoja,Manufactura,Colombia
259,"Despacho Nevárez, Gamboa y Quiroz",Manufactura,Colombia
260,Gracia y Naranjo A.C.,Manufactura,Colombia
261,Tovar-Muñoz A.C.,Servicios,Colombia
262,"Leal, Espinal y Casillas",Servicios,Colombia
263,Bustos y Galindo e Hijos,Servicios,Colombia
264,Arteaga y Asociados,Servicios,Colombia
265,Guerrero-Castillo y Asociados,Servicios,Colombia
266,Despacho Urrutia y Franco,Servicios,Colombia
267,Proyectos Gonzales y Méndez,Automotriz,Argentina
268,Proyectos Ybarra-Acevedo,Automotriz,Argentina
269,"Proyectos Colunga, Cedillo y Toledo",Automotriz,Argentina
270,"Proyectos Delgado, Carmona y Alvarez",Automotriz,Argentina
271,Despacho Muñiz-Granados,Tecnología,Argentina
272,Alemán-Delgado S.A. de C.V.,Tecnología,Argentina
273,Castro e Hijos,Tecnología,Argentina
274,"Sotelo, Carrera y Barela",Tecnología,Argentina
275,Rangel y Nájera S. R.L. de C.V.,Tecnología,Argentina
276,Razo-Santacruz,Tecnología,Argentina
277,Industrias Armas y Soliz,Tecnología,Argentina
278,"Club Angulo, Ballesteros y Roque",Tecnología,Argentina
279,"Polanco, Cardenas y Salas",Tecnología,Argentina
280,Benavides y Blanco S.A. de C.V.,Tecnología,Argentina
281,Despacho Castro-Laureano,Tecnología,Argentina
282,Olivárez-Zambrano S. R.L. de C.V.,Construcción,Argentina
283,"Club Santiago, Zedillo y Posada",Construcción,Argentina
284,Carrero-Ureña,Construcción,Argentina
285,Club Razo y Gil,Construcción,Argentina
286,"Mojica, Rendón y Ozuna",Construcción,Argentina
287,"Cadena, Marroquín y Ponce",Construcción,Argentina
288,Herrera-Noriega S.A.,Ingeniería,Argentina
289,Barrera y Bustos y Asociados,Ingeniería,Argentina
290,Cabán-Preciado,Ingeniería,Argentina
291,Nieves-Cedillo,Ingeniería,Argentina
292,Villa S. R.L. de C.V.,Ingeniería,Argentina
293,Casillas-Partida S.A. de C.V.,Ingeniería,Argentina
294,"Ávalos, Loera y Zapata",Salud,Argentina
295,"Corporacin Cano, Vélez y Sarabia",Salud,Argentina
296,Grupo Rosario y Garrido,Salud,Argentina
297,Montez-Valadez,Salud,Argentina
298,Carrero-Leiva S. R.L. de C.V.,Manufactura,Argentina
299,Proyectos Portillo y Valentín,Manufactura,Argentina
300,Jaramillo A.C.,Manufactura,Argentina
301,Corporacin Mares-Mojica,Manufactura,Argentina
302,Aguayo-Durán y Asociados,Manufactura,Argentina
303,Industrias Pacheco-Barrios,Manufactura,Argentina
304,Laboratorios Angulo-Bustos,Servicios,Argentina
305,Club Perea y Rendón,Servicios,Argentina
306,Cotto-Negrón S.A. de C.V.,Servicios,Argentina
307,Vanegas-Ybarra A.C.,Servicios,Argentina
308,Cortés S.A.,Automotriz,España
309,Bonilla S.A. de C.V.,Automotriz,España
310,Pineda y Ruelas S. R.L. de C.V.,Automotriz,España
311,Pedroza y Laboy S.A.,Automotriz,España
312,Montaño-Posada,Automotriz,España
313,Limón-Villaseñor,Automotriz,España
314,Soto y Manzanares A.C.,Tecnología,España
315,Club Zamudio y Baca,Tecnología,España
316,Flores S.A. de C.V.,Tecnología,España
317,Proyectos Chapa y Herrera,Tecnología,España
318,"Corporacin Casares, Aguilar y Salinas",Tecnología,España
319,"del Río, Ceballos y Olivares",Tecnología,España
320,Industrias Valdivia y Moreno,Tecnología,España
321,Osorio-Arias,Tecnología,España
322,"Almaraz, Rico y Bernal",Tecnología,España
323,Velásquez-Portillo S. R.L. de C.V.,Tecnología,España
324,"Perales, Longoria y Carrero",Tecnología,España
325,"Alonso, Meléndez y de la Torre",Tecnología,España
326,Nájera y Bueno S.C.,Tecnología,España
327,Guerrero-Pulido,Tecnología,España
328,"Soria, Berríos y Ortiz",Tecnología,España
329,"Laboratorios Mojica, García y Merino",Tecnología,España
330,Despacho Segovia-Carrera,Tecnología,España
331,Proyectos Montes y Montoya,Construcción,España
332,Grupo Candelaria-Concepción,Construcción,España
333,"Grupo Delgadillo, Zarate y Corral",Construcción,España
334,Díaz-Salcido,Construcción,España
335,Valle y Venegas S.C.,Construcción,España
336,Mata-Corona S.C.,Construcción,España
337,Rodarte-Quintanilla,Construcción,España
338,"Proyectos Laureano, Villareal y Badillo",Construcción,España
339,Sarabia-Benavides S.A. de C.V.,Construcción,España
340,Razo y Archuleta A.C.,Construcción,España
341,Llamas-Bermúdez e Hijos,Ingeniería,España
342,Villegas-Sarabia,Ingeniería,España
343,"Ríos, Vera y Urrutia",Ingeniería,España
344,Rascón y Asociados,Ingeniería,España
345,Corporacin Zedillo y Rolón,Ingeniería,España
346,Despacho Raya-Candelaria,Ingeniería,España
347,Bravo-Santana e Hijos,Ingeniería,España
348,Despacho Gutiérrez-Quezada,Ingeniería,España
349,Soria y Solorzano S. R.L. de C.V.,Ingeniería,España
350,Corporacin Nieves-Leyva,Ingeniería,España
351,"Paredes, Mireles y Zamora",Salud,España
352,Mesa A.C.,Salud,España
353,Cabrera-Valdez e Hijos,Salud,España
354,"Limón, Hernádez y Zavala",Salud,España
355,Corporacin Bonilla-Verduzco,Salud,España
356,Corporacin Marín-Orosco,Salud,España
357,Industrias Bravo-Marín,Manufactura,España
358,"Méndez, Cavazos y Soto",Manufactura,España
359,Piña-Sauceda,Manufactura,España
360,Almanza-Naranjo S.A. de C.V.,Manufactura,España
361,Grupo Mondragón-Ruelas,Manufactura,España
362,Grupo Chapa y Correa,Manufactura,España
363,Lucero-Campos,Manufactura,España
364,Miramontes y Asociados,Manufactura,España
365,Industrias Ocampo-Corrales,Manufactura,España
366,Grupo de Jesús-Quezada,Manufactura,España
367,Partida S.A. de C.V.,Servicios,España
368,Club Linares y Rangel,Servicios,España
369,Industrias Griego y Mares,Servicios,España
370,Esquibel y Nazario e Hijos,Servicios,España
371,Riojas y Lerma y Asociados,Servicios,España
372,"Sandoval, Suárez y Peralta",Servicios,España
373,Proyectos Feliciano-Zedillo,Automotriz,Estados Unidos
374,Proyectos Henríquez-Ávila,Automotriz,Estados Unidos
375,Nieto y Urrutia A.C.,Automotriz,Estados Unidos
376,Linares-Botello,Automotriz,Estados Unidos
377,Corporacin Rascón-Serna,Automotriz,Estados Unidos
378,Proyectos Quesada-Bustos,Automotriz,Estados Unidos
379,Proyectos Raya y Montes,Tecnología,Estados Unidos
380,Pedroza A.C.,Tecnología,Estados Unidos
381,"Sandoval, Niño y Gracia",Tecnología,Estados Unidos
382,"Bonilla, Noriega y Garrido",Tecnología,Estados Unidos
383,Matos A.C.,Tecnología,Estados Unidos
384,Concepción-Chapa A.C.,Tecnología,Estados Unidos
385,"Proyectos Rodríquez, Chávez y Rodarte",Tecnología,Estados Unidos
386,Adame y Bétancourt A.C.,Tecnología,Estados Unidos
387,"Grupo Cornejo, Ulibarri y Suárez",Tecnología,Estados Unidos
388,"Carranza, Lomeli y Granados",Tecnología,Estados Unidos
389,"Despacho Arreola, Griego y Perea",Tecnología,Estados Unidos
390,Barajas y Carranza y Asociados,Tecnología,Estados Unidos
391,Zambrano y Tello A.C.,Tecnología,Estados Unidos
392,Laboratorios Colón y Lovato,Tecnología,Estados Unidos
393,"Abreu, Morales y Guajardo",Tecnología,Estados Unidos
394,"Escobar, Briones y Soria",Tecnología,Estados Unidos
395,Barreto-Sotelo S. R.L. de C.V.,Tecnología,Estados Unidos
396,Orellana y Asociados,Construcción,Estados Unidos
397,Armas y Ontiveros S.A. de C.V.,Construcción,Estados Unidos
398,"Laboratorios Alemán, Munguía y Barreto",Construcción,Estados Unidos
399,Guajardo-Cano y Asociados,Construcción,Estados Unidos
400,Cepeda-Armendáriz S.A. de C.V.,Construcción,Estados Unidos
401,del Río-Rivera e Hijos,Construcción,Estados Unidos
402,Echeverría y Cervántez A.C.,Construcción,Estados Unidos
403,Arce y Lozada S.A.,Construcción,Estados Unidos
404,Feliciano A.C.,Construcción,Estados Unidos
405,Marín-Serrato S.C.,Construcción,Estados Unidos
406,Hernandes y Arce y Asociados,Ingeniería,Estados Unidos
407,Corporacin Munguía y Arreola,Ingeniería,Estados Unidos
408,Laboy-Castellanos y Asociados,Ingeniería,Estados Unidos
409,Quesada-Pabón e Hijos,Ingeniería,Estados Unidos
410,Olvera y Mojica S.A.,Ingeniería,Estados Unidos
411,Salinas y Nazario y Asociados,Ingeniería,Estados Unidos
412,"Proyectos Borrego, Pineda y Berríos",Ingeniería,Estados Unidos
413,"Zarate, Dueñas y Trejo",Ingeniería,Estados Unidos
414,"Corporacin Candelaria, Bétancourt y Menchaca",Ingeniería,Estados Unidos
415,"Corporacin Ramírez, Zavala y Polanco",Ingeniería,Estados Unidos
416,Laboratorios Quiroz-Montoya,Salud,Estados Unidos
417,Arias y Morales S. R.L. de C.V.,Salud,Estados Unidos
418,"Laureano, Báez y Benavídez",Salud,Estados Unidos
419,"Narváez, Serna y Crespo",Salud,Estados Unidos
420,Collazo y Asociados,Salud,Estados Unidos
421,Aragón y Castro A.C.,Salud,Estados Unidos
422,Proyectos Navarro y Nájera,Manufactura,Estados Unidos
423,"Valverde, Apodaca y Zedillo",Manufactura,Estados Unidos
424,Laboratorios Rascón-Nevárez,Manufactura,Estados Unidos
425,Quiroz-Bermúdez S. R.L. de C.V.,Manufactura,Estados Unidos
426,Industrias Navarro-Otero,Manufactura,Estados Unidos
427,Leiva-Haro A.C.,Manufactura,Estados Unidos
428,Escamilla S.C.,Manufactura,Estados Unidos
429,"Valenzuela, Carvajal y Iglesias",Manufactura,Estados Unidos
430,"Laboratorios Ramírez, Gallegos y Lira",Manufactura,Estados Unidos
431,Feliciano y Casillas S.A.,Manufactura,Estados Unidos
432,Razo-de León,Servicios,Estados Unidos
433,Brito y Maya e Hijos,Servicios,Estados Unidos
434,Barragán-Urbina S. R.L. de C.V.,Servicios,Estados Unidos
435,"Corporacin Cotto, Delgado y Nájera",Servicios,Estados Unidos
436,Despacho Fernández y Chávez,Servicios,Estados Unidos
437,Proyectos Salcido y Alvarez,Servicios,Estados Unidos
438,"Proyectos Orellana, Perea y Tijerina",Ingeniería,México
439,Despacho Fernández y Chávez,Servicios,Estados Unidos
440,Soria y Solorzano S. R.L. de C.V.,Ingeniería,España
441,Despacho Muñiz-Granados,Tecnología,Argentina
442,Cavazos y Tejeda A.C.,Salud,México
443,"Industrias Mares, Paredes y Mena",Construcción,México
444,Hernádez-Mejía A.C.,Salud,Chile
445,"Proyectos Rentería, Lira y Piña",Tecnología,México
446,"Proyectos Orellana, Perea y Tijerina",Ingeniería,México
447,Marrero S. R.L. de C.V.,Manufactura,México
448,Despacho Rodarte-Jaimes,Tecnología,Colombia
449,Proyectos Montes y Montoya,Construcción,España
450,Valdés S.A.,Ingeniería,México
451,Proyectos Feliciano-Zedillo,Automotriz,Estados Unidos
452,Pelayo y Bañuelos S.A.,Ingeniería,México
453,Almanza-Naranjo S.A. de C.V.,Manufactura,España
454,Corporacin Armenta-Ayala,Servicios,México
455,"Industrias Tijerina, Roybal y Rivero",Manufactura,México
456,"Despacho Esquibel, Lucio y Gaytán",Servicios,México
457,Bonilla S.A. de C.V.,Automotriz,España
458,Saiz-Pantoja,Manufactura,Colombia
459,Rascón y Asociados,Ingeniería,España
460,"Corporacin Candelaria, Bétancourt y Menchaca",Ingeniería,Estados Unidos
461,"Ávalos, Loera y Zapata",Salud,Argentina
462,Adame y Bétancourt A.C.,Tecnología,Estados Unidos
463,Samaniego-Quintanilla y Asociados,Manufactura,Chile
