proyecto_id,nombre,descripcion,fecha_inicio_plan,fecha_fin_plan,fecha_inicio_real,fecha_fin_real,horas_totales,horas_trabajadas,estado_id,tipo_proyecto_id,cliente_id,defectos_detectados,metadata_extraccion,catalogo_id
68,Sistema Flotas YZ,Mediante salud distintos viejo podemos casos productos padres.,2024-01-28,2025-12-31,2024-01-30,,440,220,2,5,395,0,0,68
69,Sistema RRHH UL,Generales aquel padres investigación fuentes sociedad zona cámara.,2023-05-05,2023-11-27,2023-05-08,,3543,1319,3,3,181,0,0,69
70,Plataforma E-Commerce XH,Nuestro somos fueron materia le principales tipos situación conciencia principios.,2020-08-02,2021-11-19,2020-07-30,,851,543,2,5,280,0,0,70
71,Sistema RRHH YY,Plaza madrid nivel través casi relaciones sabe consejo.,2025-01-31,2025-12-31,2025-02-13,,2376,865,2,4,15,0,0,71
72,Sistema ERP Alpha EL,Banco carne zonas base todo generales habrá habla.,2025-01-18,2025-04-26,2025-01-20,2025-04-13,1493,31,5,5,66,0,0,72
73,App Inventarios OF,Carrera lucha igual reunión era.,2025-06-27,2025-12-31,2025-06-18,,2691,1483,2,2,220,0,0,73
74,Aplicación CRM RP,Piel mayoría europea sino según países sean mar.,2025-11-06,2025-12-31,2025-11-20,2025-11-25,2338,1987,4,4,109,12,0,74
75,Plataforma Reservas KO,Puerta puntos permite compañía debe somos educación equipo toma.,2020-09-23,2021-04-07,2020-09-28,,3709,1254,2,3,216,0,0,75
76,Plataforma Reservas HU,Segunda programa programas políticos segunda país.,2025-12-04,2025-12-31,2025-11-25,2025-11-25,2459,2305,4,3,27,6,0,76
77,App Inventarios CU,Cierto supuesto presidente parís haciendo.,2025-10-04,2025-12-31,2025-10-01,2025-11-25,1872,1613,4,1,103,3,0,77
78,Aplicación CRM ZK,Justicia seguir mercado ir llegó conciencia origen.,2021-08-02,2022-04-29,2021-07-28,2022-05-06,2049,1558,4,4,112,6,0,78
79,Plataforma Reservas OQ,Antonio efectos juicio personal estudio en ejemplo dar especie.,2020-07-13,2021-09-18,2020-07-21,,2074,777,2,2,59,0,0,79
80,Portal Clientes KG,Ciudad paso edad ojos pregunta decisión buenos rey mesa respuesta.,2022-12-16,2025-05-25,2022-12-08,2025-05-27,2624,2497,4,4,295,7,0,80
81,Sistema Flotas WD,Grupo plaza felipe grado función boca primero eran ante policía trabajo.,2023-04-21,2024-08-14,2023-05-06,,3741,2263,2,3,53,0,0,81
82,App de Tareas AM,Libre relaciones efecto quiero has precios.,2021-06-22,2023-04-02,2021-06-25,,1311,279,2,1,290,0,0,82
83,Sistema RRHH JK,Sería ciudad pese objeto señora marzo gonzález muchos campo.,2024-10-10,2025-06-24,2024-10-15,,2025,707,2,3,260,0,0,83
84,Sistema RRHH GP,Fondo siguiente seguro sector ver garcía europea nadie este.,2021-11-29,2023-06-11,,,1626,78,1,4,186,0,0,84
85,App de Tareas IS,Libros fuerte psoe comunidad diez pedro.,2022-04-12,2023-02-10,2022-04-26,2022-12-25,3261,1735,5,3,334,14,0,85
86,Portal Clientes XI,Gracias alrededor humano primeros estados medios estructura tomar.,2022-02-08,2024-07-28,2022-01-31,,3744,2987,3,3,138,0,0,86
87,Sistema Flotas TC,Ojos pregunta tan señora unos habla situación efectos francia.,2025-03-11,2025-12-31,2025-03-22,,3334,2743,3,4,125,0,0,87
88,Plataforma E-Commerce OB,Alta memoria aspectos puerto habría apenas.,2025-01-28,2025-12-31,,,2372,62,1,3,254,0,0,88
89,Sistema Flotas IK,Paciente luis pedro propios ésta busca sala están.,2023-07-02,2024-11-03,2023-07-14,2024-11-10,2572,2244,4,3,133,10,0,89
90,Sistema RRHH DR,Habrá esto algunos varios final ocasiones.,2023-05-05,2024-12-21,,,1094,144,1,1,98,0,0,90
91,Plataforma E-Commerce FJ,Mismos única pesar vida producto carrera dio dejó padres marco.,2023-11-13,2025-12-31,2023-11-28,,3010,1098,2,4,124,0,0,91
92,Gestión Documental FU,Que juez consecuencia régimen edad norte últimos parte banco usted.,2023-08-27,2025-03-14,2023-09-07,,1996,1882,2,4,114,0,0,92
93,Sistema RRHH NF,Real derecho queda momento industria expresión vio.,2020-05-30,2021-05-24,2020-06-12,2021-06-01,1104,352,4,5,284,4,0,93
94,Portal Clientes CG,Programas movimiento hecho asociación primeros de curso ello crecimiento millones muestra.,2021-05-08,2022-07-25,2021-05-01,,2514,2002,2,3,139,0,0,94
95,Portal Clientes RF,Obra amor fiscal poder antonio largo ambiente mí.,2025-07-29,2025-12-31,2025-07-25,2025-11-25,779,742,4,5,381,5,0,95
96,Plataforma Reservas FT,La nuestros esto ley análisis.,2020-01-29,2020-11-08,2020-01-25,2020-07-08,979,296,5,5,390,1,0,96
97,Gestión Documental AS,Vuelta vuelve libertad esto mismo vista régimen antes.,2022-08-31,2024-03-04,2022-08-22,,659,381,2,5,363,0,0,97
98,Plataforma Reservas XT,Vista aspectos temas república existen bien.,2024-10-16,2025-08-03,2024-10-06,,2810,2278,2,2,358,0,0,98
99,Sistema ERP Alpha AN,Mediante quedó única política demás radio.,2021-11-05,2022-11-09,2021-11-03,2022-07-17,2377,691,5,3,226,11,0,99
100,App Inventarios FG,Llevar izquierda campo pablo hemos madrid.,2022-05-10,2025-02-16,2022-05-04,2025-02-24,509,407,4,5,38,2,0,100
101,Sistema RRHH PF,Allá cantidad importantes cultural compañía sueño pudo.,2022-07-26,2023-08-21,2022-08-04,,1742,194,2,1,128,0,0,101
102,Plataforma E-Commerce NH,Cabo actitud equipo han pp dan comunidad poco calidad podemos.,2024-06-29,2025-12-31,,,1179,98,1,5,116,0,0,102
103,Sistema Flotas AX,Millones oro jóvenes condiciones hechos fecha dan cierta.,2020-02-21,2021-05-07,2020-03-01,,2250,1335,3,4,302,0,0,103
104,Portal Clientes LE,Información son así diciembre.,2024-04-22,2025-12-10,2024-04-20,2024-07-24,1025,199,5,1,379,5,0,104
105,Plataforma E-Commerce SO,Materia espacio hablar pensar pasar cómo hace te distintas.,2021-04-27,2022-07-15,2021-05-09,2022-07-28,1436,1289,4,1,81,3,0,105
106,Plataforma E-Commerce IU,Plan serán muestra sangre propio alto jamás eran.,2022-01-29,2023-04-04,2022-01-21,2023-04-09,3439,2023,4,3,148,10,0,106
107,Sistema RRHH FB,Grupos color llegar construcción carta.,2021-01-06,2023-02-08,2020-12-30,2023-02-15,805,613,4,5,321,1,0,107
108,Sistema ERP Alpha AT,Habrá tenía jamás recursos nuestras valores.,2021-06-02,2022-05-23,2021-05-28,,1092,1039,2,2,137,0,0,108
109,Plataforma E-Commerce XI,Conocimiento unos revolución iba empresas pública ojos.,2024-11-26,2025-12-31,,,991,146,1,5,423,0,0,109
110,App de Tareas OE,Ninguna total calidad sol fuerza madre antes partidos participación.,2021-12-10,2023-01-29,2021-12-17,,2115,1879,2,4,156,0,0,110
111,Aplicación CRM VG,Había oposición centro mes.,2023-04-04,2024-03-25,2023-04-13,2024-03-30,1484,448,4,1,307,3,0,111
112,Gestión Documental JL,Allá posibilidades carta capital varios.,2023-07-17,2025-12-31,2023-07-25,2025-11-25,442,334,4,5,346,3,0,112
113,App Inventarios UU,Mira civil algo plaza qué horas justicia.,2020-05-22,2021-01-06,2020-05-30,,2139,877,2,4,266,0,0,113
114,Aplicación CRM ZE,Señaló lejos ministro tan cara solo aquel programas modelo.,2022-01-23,2024-06-24,2022-01-26,,1562,197,2,1,252,0,0,114
115,Sistema RRHH DX,R somos riesgo consecuencia queda europea debe hermano o gracias.,2025-05-29,2025-12-31,2025-06-10,2025-11-25,2150,1577,4,2,54,10,0,115
116,Plataforma E-Commerce SA,La lucha parís principales estado popular mano siguiente.,2020-07-05,2021-06-27,2020-06-27,2021-06-28,475,309,4,5,417,1,0,116
117,Sistema ERP Alpha JT,Tres distintas presenta económica habrá policía animales.,2020-09-20,2021-08-18,2020-10-01,,3107,2731,2,4,396,0,0,117
118,Aplicación CRM LG,España mejores e jóvenes siendo buscar allí hombres hemos.,2023-05-05,2024-05-14,2023-05-14,2024-05-16,2923,2543,4,2,28,14,0,118
119,App Inventarios SV,Algún mañana e ello libros demasiado tal nunca.,2023-12-18,2025-02-10,2023-12-17,,3124,2220,3,3,105,0,0,119
120,Sistema Flotas UA,Menor buscar parece falta nombre algo.,2021-05-04,2022-11-04,2021-05-19,2022-11-11,659,368,4,1,249,2,0,120
121,Plataforma Reservas ZR,Mira ve dos encontrar mil ella final.,2023-01-10,2023-10-24,2023-01-07,,1235,596,2,5,8,0,0,121
122,Gestión Documental ZG,Existen carlos torno sobre minutos.,2023-11-05,2024-07-29,2023-11-11,,2841,2071,2,2,61,0,0,122
123,Plataforma E-Commerce JV,Cuerpo llegó película madrid un s noviembre momento distintos amor.,2025-05-12,2025-12-31,2025-05-19,,1998,1551,2,4,248,0,0,123
124,Plataforma Reservas PF,Plan asimismo e somos cuatro autor costa ella hija costa.,2021-01-15,2022-11-12,,,679,61,1,5,307,0,0,124
125,App de Tareas CD,Ver partidos informe comisión si.,2025-10-23,2025-12-31,2025-10-21,2025-11-25,2392,1818,4,4,438,4,0,125
126,App Inventarios BL,Ejemplo ciudad problema juicio entre objeto padre tierra.,2023-07-04,2025-12-31,2023-07-08,,1402,1048,2,5,301,0,0,126
127,Plataforma E-Commerce JE,Durante vista capital sangre conciencia.,2022-02-13,2023-09-07,2022-02-13,,1172,145,3,5,171,0,0,127
128,Portal Clientes OZ,Produce destino mayo ellas conjunto gonzález esfuerzo carácter obras fueron.,2022-09-17,2023-02-16,2022-10-01,,1184,527,3,5,123,0,0,128
129,Sistema RRHH MO,Cama diferencia puede proyectos varias.,2024-12-19,2025-12-31,2024-12-30,2025-06-02,2561,305,5,4,382,7,0,129
130,Plataforma Reservas OK,Final san banco enero efectos.,2021-11-12,2023-02-06,2021-11-16,,3781,2981,2,3,303,0,0,130
131,Sistema RRHH KZ,Igual fútbol solución tienen superior fuego ve posibilidades.,2020-03-28,2021-02-03,2020-04-07,2021-02-09,895,766,4,1,234,4,0,131
132,Sistema RRHH TS,Encuentran manuel contrario social vuelve razones siguiente llegar.,2024-03-03,2025-12-31,2024-03-13,2025-11-25,3276,2867,4,3,136,8,0,132
133,Aplicación CRM CF,Lado estados próximo de asimismo.,2021-09-17,2023-08-13,2021-09-27,2023-08-15,1178,1114,4,5,440,2,0,133
134,Plataforma Reservas ZI,Región grado exterior sé como respuesta asimismo juez.,2024-06-23,2025-10-28,2024-06-20,,1864,1056,2,1,278,0,0,134
135,Sistema RRHH XE,Especie pocos plan pesetas real hicieron consecuencia anterior.,2025-06-09,2025-12-31,2025-06-02,2025-11-25,1170,216,5,2,148,3,0,135
136,Aplicación CRM FP,Pueden generales realizar propuesta plazo posible izquierda tienen.,2022-08-11,2023-09-08,2022-08-26,2023-09-10,694,453,4,1,463,3,0,136
137,Sistema RRHH US,Mientras metros siguientes siguientes presencia afirmó peor.,2020-04-10,2021-10-13,2020-04-18,2021-10-19,2975,1987,4,2,75,7,0,137
138,Plataforma E-Commerce LM,Distintas arriba nadie garcía obstante nacional entrada mano.,2022-09-19,2023-09-06,2022-09-27,,1986,880,2,4,446,0,0,138
139,Gestión Documental KO,Informe grande metros éste un.,2021-10-13,2023-01-15,2021-10-24,,2941,2258,2,3,327,0,0,139
140,App de Tareas PS,Ahí plazo cuarto desde alto.,2023-07-27,2024-07-20,2023-07-22,,3387,1938,2,3,239,0,0,140
141,Sistema RRHH KA,Razones ahí pesar técnica expresión común acerca ley interés.,2020-04-13,2022-12-01,2020-04-25,,1012,688,3,5,177,0,0,141
142,Plataforma E-Commerce SB,Hombres contra aquella voluntad va e pacientes imágenes.,2022-11-15,2024-04-24,2022-11-08,2024-05-07,2375,2060,4,2,155,6,0,142
143,Sistema RRHH MN,Especie salud resulta importantes principio sólo mercado animales fondo.,2024-09-17,2025-10-10,2024-09-15,2025-10-18,2044,1067,4,3,152,3,0,143
144,Plataforma E-Commerce UU,Nombre da mano está miguel prueba casi creo población tierra.,2025-08-18,2025-12-31,2025-08-17,,1841,1757,2,1,382,0,0,144
145,Portal Clientes OM,Nuestro sus partido aquel esa ocasiones llegar hijo valor.,2025-08-15,2025-12-31,2025-08-24,2025-11-25,2448,2322,4,3,311,11,0,145
146,Sistema ERP Alpha QF,Obras acción ningún ciudad era mediante muerte democracia manuel debe.,2025-12-03,2025-12-31,2025-11-25,,1197,556,2,2,338,0,0,146
147,Gestión Documental QG,Existencia pasó idea estuvo guerra.,2020-07-08,2021-11-11,2020-07-08,2021-08-04,1169,482,5,2,187,1,0,147
148,App de Tareas YH,Peor puedo obstante pedro cambio dicho comisión salida entre.,2024-11-09,2025-10-18,2024-11-07,2025-10-22,3087,1978,4,3,277,9,0,148
149,Aplicación CRM HZ,Existen quizá hacia alrededor grupo líder aquellas pasó mucho relaciones.,2025-10-23,2025-12-31,2025-11-07,2025-11-25,3528,3411,4,3,247,6,0,149
150,App de Tareas BM,Entonces unión respecto principales cuestión tan cuya seguir asunto económica asimismo.,2020-02-08,2020-12-20,2020-02-09,2020-12-27,2427,1200,4,2,387,6,0,150
151,Aplicación CRM YS,Respuesta práctica poco días sol b buscar mundo sino cultural memoria.,2024-07-22,2025-10-04,2024-08-02,,1531,1307,2,1,275,0,0,151
152,Plataforma Reservas WA,Vista capacidad color esta muchas mejor color.,2025-11-25,2025-12-31,2025-11-25,2025-11-25,2521,520,5,4,300,8,0,152
153,Sistema Flotas ZC,Dicen mayoría mano humanos toma presenta lo vuelta.,2022-07-30,2023-02-23,2022-07-27,,3874,3430,2,3,288,0,0,153
154,Sistema RRHH TR,Puso políticas aquellas guerra casos miedo juez semana metros.,2025-02-22,2025-12-31,2025-02-15,2025-07-25,3329,629,5,3,238,8,0,154
155,Portal Clientes PF,Arte humana seis atención justicia puerta.,2020-06-23,2022-02-13,2020-06-30,2022-02-16,799,570,4,1,253,2,0,155
156,Sistema Flotas GY,Él sabía dio libros pública apoyo.,2021-06-23,2023-05-25,2021-07-06,,1258,797,2,5,381,0,0,156
157,Sistema Flotas MM,Cuerpo existe grado especie nosotros.,2023-12-13,2024-06-30,,,1602,169,1,1,213,0,0,157
158,Portal Clientes GZ,Argentina número valor medida estilo hacía.,2024-09-08,2025-12-31,2024-09-12,,1358,548,3,1,144,0,0,158
159,Aplicación CRM WW,Democracia cinco principios tanto ha está.,2024-11-12,2025-11-28,,,2203,787,1,3,438,0,0,159
160,Sistema RRHH XN,Reunión viene siglo dirección lo libros materia.,2020-01-28,2022-06-08,2020-01-26,,2124,757,3,3,331,0,0,160
161,Portal Clientes EI,Elecciones se través puerto largo arriba.,2025-06-19,2025-12-31,2025-06-29,2025-11-25,1375,1336,4,4,435,5,0,161
162,App Inventarios RB,Ocasión etc usted manos políticos natural experiencia los.,2025-08-19,2025-12-31,2025-09-03,2025-11-25,2498,1824,4,3,403,14,0,162
163,Portal Clientes XJ,Color dicho caso parte vuelve pensar podrá hombres espera área.,2022-07-17,2024-08-19,2022-07-17,,1684,474,2,2,284,0,0,163
164,App Inventarios MJ,Ideas revolución puerto chile cantidad línea argentina valores bastante somos.,2022-03-17,2024-06-01,2022-03-11,,1167,1034,2,1,306,0,0,164
165,Sistema ERP Alpha AZ,Estructura b afirmó cámara programa viaje radio silencio.,2024-01-18,2025-11-27,,,1953,0,1,1,90,0,0,165
166,Sistema ERP Alpha QW,Cierto embargo lucha mar cuanto aquellos construcción baja estudios.,2021-07-22,2022-12-22,2021-07-17,2022-12-31,2126,1570,4,2,405,6,0,166
167,Plataforma E-Commerce RV,Horas posible operación europa tendrá.,2023-02-28,2024-06-10,2023-03-04,2024-06-25,730,537,4,1,270,1,0,167
168,Sistema Flotas QL,Actividad unos sólo económico cine posición mes.,2021-08-27,2022-10-22,2021-08-18,2022-10-31,853,779,4,5,232,3,0,168
169,Sistema ERP Alpha GH,Popular barcelona comercio debe flores programa rafael área.,2023-11-22,2025-10-28,2023-11-13,,2938,1228,2,3,267,0,0,169
170,Plataforma E-Commerce JU,Cultural necesario blanco misma económico en.,2022-04-29,2022-11-12,2022-04-21,,1604,866,3,1,219,0,0,170
171,App Inventarios NW,Fuentes primer memoria cultural quien principio.,2023-08-27,2025-01-03,2023-08-25,2025-01-06,1069,957,4,2,312,7,0,171
172,Sistema Flotas ZB,Vista esta nuestro policía no varios volvió tener existen.,2025-05-01,2025-08-30,2025-05-04,,3070,1920,2,4,151,0,0,172
173,Sistema RRHH UP,Realizar internacional además campo izquierda aquí suerte.,2022-07-15,2024-02-25,2022-07-19,2024-03-04,840,719,4,5,59,3,0,173
174,Aplicación CRM SD,Especialmente orden voluntad explicó programa abril ellas social siguientes grado.,2023-06-07,2024-06-24,2023-06-10,2024-07-01,1389,1057,4,4,205,3,0,174
175,Plataforma Reservas BO,Principales millones corazón función veces méxico muestra.,2020-04-26,2021-04-05,2020-04-18,2021-04-14,1274,1103,4,4,79,8,0,175
176,Sistema Flotas YO,Sola natural podemos hasta nada encontrar desde.,2020-12-25,2021-12-18,2021-01-01,,1045,457,3,2,191,0,0,176
177,Sistema RRHH AC,Ayer través precisamente aún radio del europa mundo.,2024-06-04,2025-12-31,2024-06-17,2025-11-25,3789,2715,4,3,211,17,0,177
178,App de Tareas RN,Habrá capital pp fuerzas secretario tú programas organización color diferencia.,2024-06-13,2025-12-31,2024-06-09,,1783,1232,3,1,181,0,0,178
